Title,Writer,Date Written,Number of Comments,Number of Likes,Link to Article
"Final Fantasy XVI launch trailer, Salvation, revealed","Sunil GodhaniaSenior Social Media Manager, Square Enix","Date published:May 24, 2023",8,138,https://blog.playstation.com/2023/05/24/final-fantasy-xvi-launch-trailer-salvation-revealed/
Marvel’s Spider-Man 2 gameplay revealed,"Aaron Jason EspinozaSenior Community Manager, Insomniac Games","Date published:May 24, 2023",102,705,https://blog.playstation.com/2023/05/24/marvels-spider-man-2-gameplay-revealed/
Introducing Concord—a new PVP multiplayer FPS from Firewalk Studios coming to PS5 and PC,"Ryan EllisGame Director, Firewalk Studios","Date published:May 24, 2023",28,140,https://blog.playstation.com/2023/05/24/introducing-concord-a-new-pvp-multiplayer-fps-from-firewalk-studios-coming-to-ps5-and-pc/
Bungie unveils Marathon,"Brian EkbergEditorial Lead, Bungie","Date published:May 24, 2023",52,166,https://blog.playstation.com/2023/05/24/bungie-unveils-marathon/
"Watch the first trailer for Dragon’s Dogma 2, Capcom’s upcoming action-RPG","Ken MendozaPromotion Producer, Capcom","Date published:May 24, 2023",14,179,https://blog.playstation.com/2023/05/24/watch-the-first-trailer-for-dragons-dogma-2-capcoms-upcoming-action-rpg/
"Revealing Ultros, a psychedelic sci-fi side-scroller coming to PS5 and PS4 in 2024","Mårten BrüggemannGame Design Director, Hadoque","Date published:May 24, 2023",3,80,https://blog.playstation.com/2023/05/24/revealing-ultros-a-psychedelic-sci-fi-side-scroller-coming-to-ps5-and-ps4-in-2024/
"Tower of Fantasy, an immersive cyberpunk open-world RPG, hits PS5 and PS4 this summer","Sky WangLead Designer, Perfect World Games","Date published:May 24, 2023",10,139,https://blog.playstation.com/2023/05/24/tower-of-fantasy-an-immersive-cyberpunk-open-world-rpg-hits-ps5-and-ps4-this-summer/
Two new playable characters join the Granblue Fantasy: Relink roster,"Tetsuya FukuharaGeneral Director, Cygames Inc.","Date published:May 24, 2023",5,86,https://blog.playstation.com/2023/05/24/two-new-playable-characters-join-the-granblue-fantasy-relink-roster/
"Welcome to Revenant Hill, where your journey to become a witch’s familiar begins","Coby WestTechnical Designer, The Glory Society","Date published:May 24, 2023",6,116,https://blog.playstation.com/2023/05/24/welcome-to-revenant-hill-where-your-journey-to-become-a-witchs-familiar-begins/
"First Assassin’s Creed Mirage gameplay revealed, launches October 12","Maïté HayetAssociate Director, Global Communications & Strategy, Ubisoft","Date published:May 24, 2023",10,106,https://blog.playstation.com/2023/05/24/first-assassins-creed-mirage-gameplay-revealed-launches-october-12/
Alan Wake 2 launches on PS5 October 17,"Thomas PuhaCommunications Director, Remedy Entertainment","Date published:May 24, 2023",25,182,https://blog.playstation.com/2023/05/24/alan-wake-2-launches-on-ps5-october-17/
Towers of Aghasba hits PS5 next year – new gameplay details,"Saiprapanch AdloorGame Designer, Dreamlit inc.","Date published:May 24, 2023",5,98,https://blog.playstation.com/2023/05/24/towers-of-aghasba-hits-ps5-next-year-new-gameplay-details/
"Revealing Cat Quest: Pirates of the Purribean, coming to PS5 and PS4 next year","Desmond WongDesigner/Artist, The Gentlebros","Date published:May 24, 2023",9,65,https://blog.playstation.com/2023/05/24/revealing-cat-quest-pirates-of-the-purribean-coming-to-ps5-and-ps4-next-year/
