,Author,Timestamp,Comment,Article Link
25,gor1llap1mp,"November 16, 2023 at 8:16 am PST","Am I the only one waiting for Tokyo 42 to go on sale?  I mean, is it not an INDIE or is it just too good to be put on sale?",https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
26,gor1llap1mp,"November 16, 2023 at 8:52 am PST","Ah, this is for Asia only.",https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
27,jl_picard1701,"November 20, 2023 at 12:01 am PST",Another big lie from PS. There is’t any promotion. There isn’t any black friday promotion also,https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
28,dang222895,"November 22, 2023 at 11:54 pm PST",โด่ง,https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
29,stryker71,"October 25, 2023 at 2:54 pm PDT",This is the second sale in a row where Ghost Recon: Wildlands is listed as on sale on the blog but is NOT actually on sale on the PlayStation store. PLEASE FIX!,https://blog.playstation.com/2023/10/24/essential-picks-promotion-comes-to-playstation-store-6/
30,scibba,"October 25, 2023 at 5:02 pm PDT",Games,https://blog.playstation.com/2023/10/24/essential-picks-promotion-comes-to-playstation-store-6/
31,stryker71,"September 27, 2023 at 7:38 pm PDT",Ghost Recon Wildlands year 2 Gold edition isn’t discounted…. Can that be fixed please?,https://blog.playstation.com/2023/09/26/extended-play-promotion-comes-to-playstation-store-4/
32,RichyAwesome007,"September 28, 2023 at 12:27 pm PDT",i was just gonna say that well spotted,https://blog.playstation.com/2023/09/26/extended-play-promotion-comes-to-playstation-store-4/
33,RichyAwesome007,"September 28, 2023 at 12:27 pm PDT",Just bought 11 new games and pre ordered metal gear solid collection so ive now got 5 games pre ordered for october woop,https://blog.playstation.com/2023/09/26/extended-play-promotion-comes-to-playstation-store-4/
34,oShadoWo69o,"October 4, 2023 at 6:39 pm PDT",Remnant II – Ultimate Edition NoSale in Extended play sale,https://blog.playstation.com/2023/09/26/extended-play-promotion-comes-to-playstation-store-4/
35,iisaif7x,"September 12, 2023 at 7:32 pm PDT",Third month in a row with no divinity original sin 2. I getting reaching my limit of patience here.,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
36,CommandingTiger,"September 13, 2023 at 6:34 am PDT",Where’s the full list?,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
37,delusion-_-,"September 12, 2023 at 9:33 pm PDT","never thought Sony would push me towards microsoft, but these price hikes + no value = no thank you. subscription cancelled.",https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
38,yohonet,"September 13, 2023 at 12:08 am PDT","Awesome, thank you so much for these great deals on excellent games!",https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
39,Oursique,"September 13, 2023 at 12:53 am PDT",This list is why psprices.com exists.,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
