Game_Title,Genres,Developers,Publishers,Release_date
Vigor,Loot shooter,Bohemia Interactive,Bohemia Interactive,12/9/2020
Void Terrarium Plus,"Role-playing
roguelike",Nippon Ichi Software,Nippon Ichi Software,5/18/2021
Watch Dogs: Legion,Action-adventure,Ubisoft Toronto,Ubisoft,11/12/2020
Warframe,"Action role-playing
third-person shooter",Digital Extremes,Digital Extremes,11/26/2020
"Warhammer 40,000: Shootas, Blood & Teef",Run and gun,Rogueside,Rogueside,12/2/2022
"Warhammer 40,000: Space Marine II",Third-person shooter,Saber Interactive,Focus Entertainment,9/9/2024
Warhammer: Chaosbane,"Action role-playing
hack and slash",Eko Software,Bigben Interactive,11/12/2020
War Hospital,Strategy,Brave Lamb Studio,Movie Games,8/31/2023
War Mongrels,Real-time tactics,Destructive Creations,All in! Games,4/25/2023
War Thunder,"Action
vehicular combat
combat flight simulator",Gaijin Entertainment,Gaijin Entertainment,11/17/2020
Warsaw,Tactical role-playing,Pixelated Milk,Pixelated Milk,11/12/2020
Wayfinder,Action role-playing,Airship Syndicate,Digital Extremes,8/17/2023
Werewolf: The Apocalypse – Earthblood,Action role-playing,Cyanide,Nacon,2/4/2021
Wild Hearts,Action,Omega Force,Electronic Arts,2/17/2023
The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,CD Projekt,12/14/2022
Wo Long: Fallen Dynasty,Action role-playing,Team Ninja,Koei Tecmo,3/3/2023
World of Warships: Legends,Vehicular combat,Lesta Studio,Wargaming,4/26/2021
World War Z: Aftermath,Third-person shooter,Saber Interactive,Mad Dog Games,1/24/2023
Worms Rumble,"Artillery
battle royale
strategy",Team17,Team17,12/1/2020
WRC 9,"Racing
simulation",Kylotonn,Nacon,11/12/2020
WRC 10,"Racing
simulation",Kylotonn,Nacon,9/2/2021
Wreckfest,"Vehicular combat
racing",Bugbear Entertainment,THQ Nordic,6/1/2021
WWE 2K22,Sports,Visual Concepts,2K,3/11/2022
WWE 2K23,Sports,Visual Concepts,2K,3/17/2023
Yakuza: Like a Dragon,Role-playing,Ryu Ga Gotoku Studio,Sega,3/2/2021
Ys VIII: Lacrimosa of Dana,Action role-playing,Nihon Falcom,NIS America,11/15/2022
Ys IX: Monstrum Nox,Action role-playing,Nihon Falcom,NIS America,5/9/2023
Ys X: Nordics,Action role-playing,Nihon Falcom,Nihon Falcom,9/28/2023
Yu-Gi-Oh! Master Duel,Card battle,Konami,Konami,1/28/2022
Yuoni,Survival horror,Tricore,Chorus Worldwide,8/19/2021
Yurukill: The Calumniation Games,Shoot 'em up,G.Rev,"JP: Izanagi Games
WW: NIS America",6/7/2022
